Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
130,tt0039536,2023-04-06,2023-04-06,,"Il bacio della morte","Kiss of Death",https://www.imdb.com/title/tt0039536/,Film,7.4,99,1947,"Poliziesco, Drammatico, Noir, Thriller",9811,1948-09-13,"Henry Hathaway",,
131,tt0032758,2023-04-06,2023-04-06,,"Marco Visconti","Marco Visconti",https://www.imdb.com/title/tt0032758/,Film,,108,1941,"Drammatico",0,1941-03-19,"Mario Bonnard",,
132,tt0038046,2023-04-06,2023-04-06,,"Salomè","Salome, Where She Danced",https://www.imdb.com/title/tt0038046/,Film,5.4,90,1945,"Avventura, Drammatico, Musica, Sentimentale, Guerra, Western",386,1945-04-17,"Charles Lamont",,
133,tt0207295,2023-04-06,2023-04-06,,"La collana della regina","L'affaire du collier de la reine",https://www.imdb.com/title/tt0207295/,Film,7.1,118,1946,"Poliziesco, Drammatico, Storico",92,1950,"Marcel L'Herbier",,
134,tt0035719,2023-04-06,2023-04-06,,"La casa senza tempo","La casa senza tempo",https://www.imdb.com/title/tt0035719/,Film,5.4,85,1945,"Giallo",8,1945-10-25,"Andrea Forzano",,
135,tt0041365,2023-04-06,2023-04-06,,"La figlia del peccato","La figlia del peccato",https://www.imdb.com/title/tt0041365/,Film,,86,1949,"Drammatico",0,,"Armando Ingegnero",,
136,tt0041633,2023-04-06,2023-04-06,,"La mano della morta","La mano della morta",https://www.imdb.com/title/tt0041633/,Film,5.3,90,1949,"Drammatico",15,,"Carlo Campogalliani",,
137,tt0039615,2023-04-06,2023-04-06,,"I maledetti","Les maudits",https://www.imdb.com/title/tt0039615/,Film,7.1,105,1947,"Avventura, Drammatico, Thriller, Guerra",1182,1948-01-24,"René Clément",,
138,tt0178337,2023-04-06,2023-04-06,,"Citizen Saint","Citizen Saint",https://www.imdb.com/title/tt0178337/,Film,,65,1947,"Drammatico",0,1947-05-15,"Harold Young",,
139,tt0041366,2023-04-06,2023-04-06,,"La figlia della Madonna","La figlia della Madonna",https://www.imdb.com/title/tt0041366/,Film,,,1949,,0,1949-09-07,"Roberto Bianchi Montero",,
140,tt0041261,2023-04-06,2023-04-06,,"Il conte Ugolino","Il conte Ugolino",https://www.imdb.com/title/tt0041261/,Film,6.7,86,1949,"Drammatico",43,1949-11-01,"Riccardo Freda",,
141,tt0024852,2023-04-06,2023-04-06,,"Nel paese delle meraviglie","Babes in Toyland",https://www.imdb.com/title/tt0024852/,Film,7.1,77,1934,"Commedia, Per famiglie, Fantastico, Musical",7644,1934-12-14,"Gus Meins, Charley Rogers",,
142,tt0130261,2023-04-06,2023-04-06,,"Sirena","Siréna",https://www.imdb.com/title/tt0130261/,Film,6.0,77,1947,"Drammatico",108,1947-04-11,"Karel Steklý",,
143,tt0162292,2023-04-06,2023-04-06,,"Don Ricardo Returns","Don Ricardo Returns",https://www.imdb.com/title/tt0162292/,Film,4.4,63,1946,"Western",68,1946-11-05,"Terry O. Morse",,
144,tt0134056,2023-04-06,2023-04-06,,"Il trionfo di Zorro","Ridin' the Trail",https://www.imdb.com/title/tt0134056/,Film,,57,1940,"Western",0,1940-07-27,"Raymond K. Johnson",,
145,tt0034431,2023-04-06,2023-04-06,,"Martin Eden","The Adventures of Martin Eden",https://www.imdb.com/title/tt0034431/,Film,5.8,87,1942,"Azione, Avventura, Poliziesco, Drammatico, Sentimentale",171,1942-02-26,"Sidney Salkow",,
146,tt0038068,2023-04-06,2023-04-06,,"Jungla in fiamme","La selva de fuego",https://www.imdb.com/title/tt0038068/,Film,6.7,76,1945,"Avventura, Drammatico",39,1945-12-27,"Fernando de Fuentes",,
147,tt0041344,2023-04-06,2023-04-06,,"Il falco rosso","Il falco rosso",https://www.imdb.com/title/tt0041344/,Film,,87,1949,"Drammatico",0,1949-12-05,"Carlo Ludovico Bragaglia",,
148,tt0030107,2023-04-06,2023-04-06,,"Ettore Fieramosca","Ettore Fieramosca",https://www.imdb.com/title/tt0030107/,Film,6.1,110,1938,"Avventura, Storico, Sentimentale, Guerra",78,1938-12-29,"Alessandro Blasetti",,
149,tt0034672,2023-04-06,2023-04-06,,"La donna è mobile","La donna è mobile",https://www.imdb.com/title/tt0034672/,Film,,76,1942,"Commedia",0,1942-10-09,"Mario Mattoli",,
150,tt0032811,2023-04-06,2023-04-06,,"Bufera mortale","The Mortal Storm",https://www.imdb.com/title/tt0032811/,Film,7.7,100,1940,"Drammatico",6236,1940-06-14,"Frank Borzage",,
151,tt0039241,2023-04-06,2023-04-06,,"Capitan Demonio","Capitan Demonio",https://www.imdb.com/title/tt0039241/,Film,3.8,90,1950,"Avventura, Storico",8,1950-02-11,"Carlo Borghesio",,
152,tt0041200,2023-04-06,2023-04-06,,"Botta e risposta","Botta e risposta",https://www.imdb.com/title/tt0041200/,Film,4.9,80,1950,"Commedia",64,1950-02-18,"Mario Soldati",,
153,tt0038016,2023-04-06,2023-04-06,,"Il ratto delle sabine","Il ratto delle sabine",https://www.imdb.com/title/tt0038016/,Film,6.0,77,1945,"Commedia",120,1945-12-04,"Mario Bonnard",,
154,tt0046160,2023-04-06,2023-04-06,,"Paolo e Francesca","Paolo e Francesca",https://www.imdb.com/title/tt0046160/,Film,5.8,92,1950,"Drammatico, Storico",30,1950-02,"Raffaello Matarazzo",,
155,tt0038882,2023-04-06,2023-04-06,,"Rigoletto","Rigoletto",https://www.imdb.com/title/tt0038882/,Film,7.5,105,1946,"Drammatico, Musica, Sentimentale",48,1946,"Carmine Gallone",,
156,tt0038002,2023-04-06,2023-04-06,,"Pronto chi parla?","Pronto chi parla?",https://www.imdb.com/title/tt0038002/,Film,,80,1946,"Commedia, Sentimentale",0,1946-12-21,"Carlo Ludovico Bragaglia",,
157,tt0039135,2023-04-06,2023-04-06,,"L'aquila a due teste","L'aigle à deux têtes",https://www.imdb.com/title/tt0039135/,Film,6.6,93,1948,"Drammatico",687,1950-02,"Jean Cocteau",,
158,tt0040605,2023-04-06,2023-04-06,,"La montagna di cristallo","The Glass Mountain",https://www.imdb.com/title/tt0040605/,Film,6.5,99,1949,"Drammatico",308,1949-03-09,"Henry Cass",,
159,tt0026286,2023-04-06,2023-04-06,,"Don Bosco","Don Bosco",https://www.imdb.com/title/tt0026286/,Film,5.7,90,1936,"Biografico",27,1936-05-26,"Goffredo Alessandrini",,
160,tt0032935,2023-04-06,2023-04-06,,"Il postiglione della steppa","Der Postmeister",https://www.imdb.com/title/tt0032935/,Film,6.8,92,1940,"Drammatico",223,1940-04-24,"Gustav Ucicky",,
161,tt0032307,2023-04-06,2023-04-06,,"Caravaggio, il pittore maledetto","Caravaggio, il pittore maledetto",https://www.imdb.com/title/tt0032307/,Film,,105,1941,"Drammatico",0,1941-02-06,"Goffredo Alessandrini",,
162,tt0039086,2023-04-06,2023-04-06,,"Voglio bene soltanto a te!","Voglio bene soltanto a te!",https://www.imdb.com/title/tt0039086/,Film,4.2,,1946,,7,1946-11-12,"Giuseppe Fatigati",,
163,tt0041102,2023-04-06,2023-04-06,,"Al diavolo la celebrità","Al diavolo la celebrità",https://www.imdb.com/title/tt0041102/,Film,5.9,90,1949,"Commedia, Fantastico",123,1949-11-18,"Mario Monicelli, Steno",,
164,tt0041226,2023-04-06,2023-04-06,,"Canzoni per le strade","Canzoni per le strade",https://www.imdb.com/title/tt0041226/,Film,5.1,88,1950,"Drammatico",17,1950-10-09,"Mario Landi",,
165,tt0032200,2023-04-06,2023-04-06,,"Amami, Alfredo!","Amami, Alfredo!",https://www.imdb.com/title/tt0032200/,Film,,86,1940,"Drammatico, Sentimentale",0,1940-09-29,"Carmine Gallone",,
166,tt0041925,2023-04-06,2023-04-06,,"La strada buia","La strada buia",https://www.imdb.com/title/tt0041925/,Film,5.7,87,1950,"Poliziesco, Drammatico",48,1950-05-08,"Marino Girolami, Sidney Salkow",,
167,tt0028221,2023-04-06,2023-04-06,,"Le scarpe al sole","Le scarpe al sole",https://www.imdb.com/title/tt0028221/,Film,6.1,,1935,"Drammatico, Guerra",19,2023-07-10,"Marco Elter",,
168,tt0042427,2023-04-06,2023-04-06,,"L'edera","L'edera",https://www.imdb.com/title/tt0042427/,Film,6.8,95,1950,"Drammatico",26,1950-11-29,"Augusto Genina",,
169,tt0032302,2023-04-06,2023-04-06,,"Capitan Fracassa","Capitan Fracassa",https://www.imdb.com/title/tt0032302/,Film,5.4,90,1940,"Avventura",15,1940-11-15,"Duilio Coletti",,
170,tt0033489,2023-04-06,2023-04-06,,"La corona di ferro","La corona di ferro",https://www.imdb.com/title/tt0033489/,Film,6.3,83,1941,"Avventura, Fantastico",451,1941-10,"Alessandro Blasetti",,
171,tt0053780,2023-04-06,2023-04-06,,"I dolci inganni","I dolci inganni",https://www.imdb.com/title/tt0053780/,Film,6.8,91,1960,"Drammatico, Sentimentale",453,1960-10-15,"Alberto Lattuada",,
172,tt0058859,2023-04-06,2023-04-06,,"2+5: Missione Hydra","2+5: Missione Hydra",https://www.imdb.com/title/tt0058859/,Film,4.4,91,1966,"Avventura, Fantascienza",655,1966-10-02,"Pietro Francisci",,
173,tt0060353,2023-04-06,2023-04-06,,"I due sanculotti","I due sanculotti",https://www.imdb.com/title/tt0060353/,Film,5.8,95,1966,"Commedia",64,1966,"Giorgio Simonelli",,
174,tt0059121,2023-04-06,2023-04-06,,"I due toreri","I due toreri",https://www.imdb.com/title/tt0059121/,Film,5.7,115,1964,"Commedia",46,1964,"Giorgio Simonelli",,
175,tt0057683,2023-04-06,2023-04-06,,"Dove vai sono guai!","Who's Minding the Store?",https://www.imdb.com/title/tt0057683/,Film,6.7,90,1963,"Commedia",2843,1964-02-06,"Frank Tashlin",,
176,tt0058452,2023-04-06,2023-04-06,,"I disperati della gloria","Parias de la gloire",https://www.imdb.com/title/tt0058452/,Film,5.5,100,1964,"Drammatico, Guerra",47,1964-04-05,"Henri Decoin",,
177,tt0056048,2023-04-06,2023-04-06,,"La donna che inventò lo strip-tease","Gypsy",https://www.imdb.com/title/tt0056048/,Film,7.1,143,1962,"Biografico, Commedia, Drammatico, Musical",7138,1963-06-21,"Mervyn LeRoy",,
178,tt0055906,2023-04-06,2023-04-06,,"Diciottenni al sole","Diciottenni al sole",https://www.imdb.com/title/tt0055906/,Film,5.3,100,1962,"Commedia",140,1963-06-07,"Camillo Mastrocinque",,
179,tt0122597,2023-04-06,2023-04-06,,"Maciste contro Ercole nella valle dei guai","Maciste contro Ercole nella valle dei guai",https://www.imdb.com/title/tt0122597/,Film,5.0,90,1961,"Commedia, Fantastico, Fantascienza",106,1961-10-19,"Mario Mattoli",,
180,tt0055214,2023-04-06,2023-04-06,,"Il dubbio","The Naked Edge",https://www.imdb.com/title/tt0055214/,Film,6.6,97,1961,"Poliziesco, Giallo, Thriller",1562,1961-08-18,"Michael Anderson",,
181,tt0061599,2023-04-06,2023-04-06,,"Due marines e un generale","Due marines e un generale",https://www.imdb.com/title/tt0061599/,Film,5.1,96,1965,"Commedia",257,1965-12-02,"Luigi Scattini",,
182,tt0059773,2023-04-06,2023-04-06,,"La doppia vita di Sylvia West","Sylvia",https://www.imdb.com/title/tt0059773/,Film,6.7,115,1965,"Drammatico",428,1965-03-12,"Gordon Douglas",,
183,tt0059065,2023-04-06,2023-04-06,,"Esperimento IS: il mondo si frantuma","Crack in the World",https://www.imdb.com/title/tt0059065/,Film,5.9,96,1965,"Azione, Drammatico, Fantascienza, Thriller",2969,1965-04-15,"Andrew Marton",,
184,tt0054847,2023-04-06,2023-04-06,,"El Cid","El Cid",https://www.imdb.com/title/tt0054847/,Film,7.2,182,1961,"Biografico, Drammatico, Storico, Sentimentale, Guerra",16089,1961-10-24,"Anthony Mann",,
185,tt0154461,2023-04-06,2023-04-06,,"...e la donna creò l'amore","Et la femme créa l'amour",https://www.imdb.com/title/tt0154461/,Film,4.0,88,1966,"Drammatico",10,1966,"Fabien Collin",,
186,tt0054969,2023-04-06,2023-04-06,,"I fratelli di ferro","Los hermanos Del Hierro",https://www.imdb.com/title/tt0054969/,Film,7.9,95,1961,"Avventura, Drammatico, Western",373,1961-10-05,"Ismael Rodríguez",,
187,tt0044790,2023-04-06,2023-04-06,,"I fuorilegge del Kansas","Kansas Territory",https://www.imdb.com/title/tt0044790/,Film,6.6,65,1952,"Western",54,1952-05-04,"Lewis D. Collins",,
188,tt0056057,2023-04-06,2023-04-06,,"Furto su misura","The Happy Thieves",https://www.imdb.com/title/tt0056057/,Film,5.2,88,1961,"Commedia, Poliziesco, Drammatico",621,1962-01,"George Marshall",,
189,tt0056448,2023-04-06,2023-04-06,,"I fuorilegge della valle solitaria","Tierra brutal",https://www.imdb.com/title/tt0056448/,Film,4.9,83,1961,"Drammatico, Sentimentale, Western",237,1961-11,"Michael Carreras",,
190,tt0150548,2023-04-06,2023-04-06,,"I figli del leopardo","I figli del leopardo",https://www.imdb.com/title/tt0150548/,Film,5.0,95,1965,"Commedia",71,1965-04-21,"Sergio Corbucci",,
191,tt0172416,2023-04-06,2023-04-06,,"F.B.I. operazione Baalbeck","F.B.I. operazione Baalbeck",https://www.imdb.com/title/tt0172416/,Film,5.1,95,1964,"Azione, Poliziesco",40,1964-06-30,"Hugo Fregonese, Marcello Giannini",,
192,tt0050497,2023-04-06,2023-04-06,,"I filibustieri dei mari del sud","Hell Ship Mutiny",https://www.imdb.com/title/tt0050497/,Film,4.5,66,1957,"Azione, Avventura, Poliziesco, Sentimentale",133,1957-12-06,"Lee Sholem, Elmo Williams",,
193,tt0057078,2023-04-06,2023-04-06,,"La frusta e il corpo","La frusta e il corpo",https://www.imdb.com/title/tt0057078/,Film,6.6,91,1963,"Horror, Sentimentale",4821,1963-08-29,"Mario Bava",,
194,tt0173831,2023-04-06,2023-04-06,,"Un figlio d'oggi","Un figlio d'oggi",https://www.imdb.com/title/tt0173831/,Film,5.8,94,1961,,11,1961,"Marino Girolami, Domenico Graziano",,
195,tt0051420,2023-04-06,2023-04-06,,"La freccia di fuoco","Blood Arrow",https://www.imdb.com/title/tt0051420/,Film,6.2,76,1958,"Western",76,1958-04-01,"Charles Marquis Warren",,
196,tt0054870,2023-04-06,2023-04-06,,"Il federale","Il federale",https://www.imdb.com/title/tt0054870/,Film,7.4,102,1961,"Commedia",860,1962-05-23,"Luciano Salce",,
197,tt0056951,2023-04-06,2023-04-06,,"La finestra della morte","Constance aux enfers",https://www.imdb.com/title/tt0056951/,Film,6.1,88,1964,"Poliziesco, Giallo",67,1964-02-05,"François Villiers",,
198,tt0058089,2023-04-06,2023-04-06,,"Fantomas 70","Fantômas",https://www.imdb.com/title/tt0058089/,Film,6.9,104,1964,"Avventura, Commedia, Poliziesco, Fantastico",12449,1965-01,"André Hunebelle",,
199,tt0042531,2023-04-06,2023-04-06,,"Romantico avventuriero","The Gunfighter",https://www.imdb.com/title/tt0042531/,Film,7.7,85,1950,"Western",13032,1950-09-08,"Henry King",,
200,tt0053752,2023-04-06,2023-04-06,,"Furto alla banca d'Inghilterra","The Day They Robbed the Bank of England",https://www.imdb.com/title/tt0053752/,Film,6.6,85,1960,"Poliziesco, Drammatico, Thriller",980,1961-06-01,"John Guillermin",,
201,tt0058140,2023-04-06,2023-04-06,,"I giganti di Roma","I giganti di Roma",https://www.imdb.com/title/tt0058140/,Film,4.9,95,1964,"Avventura, Guerra",306,1964-09-10,"Antonio Margheriti",,
202,tt0178516,2023-04-06,2023-04-06,,"Goliath e la schiava ribelle","Goliath e la schiava ribelle",https://www.imdb.com/title/tt0178516/,Film,5.3,105,1963,"Avventura, Drammatico, Fantastico, Storico",141,1963-09-05,"Mario Caiano",,
203,tt0032178,2023-04-06,2023-04-06,,"Giuramento di sangue","20 Mule Team",https://www.imdb.com/title/tt0032178/,Film,6.4,84,1940,"Western",280,1940-05-03,"Richard Thorpe",,
204,tt0134668,2023-04-06,2023-04-06,,"Il gaucho","Il gaucho",https://www.imdb.com/title/tt0134668/,Film,6.7,111,1964,"Commedia",397,1965-03-25,"Dino Risi",,
205,tt0056975,2023-04-06,2023-04-06,,"Il grande corsaro","Dai tôzoku",https://www.imdb.com/title/tt0056975/,Film,6.2,80,1963,"Azione, Avventura, Fantastico",312,1963-10-26,"Senkichi Taniguchi",,
206,tt0296839,2023-04-06,2023-04-06,,"I giganti dell'oro nero","Le Sahara brûle",https://www.imdb.com/title/tt0296839/,Film,,103,1961,"Avventura",0,1965,"Michel Gast",,
207,tt0059107,2023-04-06,2023-04-06,,"Il gigante della roccia del falco","Dingaka",https://www.imdb.com/title/tt0059107/,Film,6.7,98,1964,"Drammatico, Azione",103,1964-07-03,"Jamie Uys",,
208,tt0058283,2023-04-06,2023-04-06,,"Un giorno di terrore","Lady in a Cage",https://www.imdb.com/title/tt0058283/,Film,6.7,94,1964,"Drammatico, Horror, Thriller",3906,1964-06-10,"Walter Grauman",,
209,tt0052415,2023-04-06,2023-04-06,,"I giovani leoni","The Young Lions",https://www.imdb.com/title/tt0052415/,Film,7.1,167,1958,"Azione, Drammatico, Guerra",9051,1958-04-02,"Edward Dmytryk",,
210,tt0137795,2023-04-06,2023-04-06,,"Il grande bluff","Le grand bluff",https://www.imdb.com/title/tt0137795/,Film,5.3,94,1957,"Commedia, Drammatico",47,1957-05-15,"Patrice Dally",,
211,tt0052865,2023-04-06,2023-04-06,,"Guardatele ma non toccatele","Guardatele ma non toccatele",https://www.imdb.com/title/tt0052865/,Film,5.1,90,1959,"Commedia",30,1959,"Mario Mattoli",,
212,tt0056710,2023-04-06,2023-04-06,,"I giovani fucili del Texas","Young Guns of Texas",https://www.imdb.com/title/tt0056710/,Film,4.9,78,1962,"Drammatico, Western",290,1962-11,"Maury Dexter",,
213,tt0057396,2023-04-06,2023-04-06,,"Giorni caldi a Palm Springs","Palm Springs Weekend",https://www.imdb.com/title/tt0057396/,Film,5.9,100,1963,"Commedia, Drammatico",1206,1963-11-05,"Norman Taurog",,
214,tt0044419,2023-04-06,2023-04-06,,"Il grande cielo","The Big Sky",https://www.imdb.com/title/tt0044419/,Film,6.9,140,1952,"Avventura, Drammatico, Western",4892,1952-11-27,"Howard Hawks",,
215,tt0057155,2023-04-06,2023-04-06,,"Horror","Horror",https://www.imdb.com/title/tt0057155/,Film,5.4,88,1963,"Horror",889,1963-06-06,"Alberto De Martino",,
216,tt0207596,2023-04-07,2023-04-07,,"L'indomabile","Mandrin",https://www.imdb.com/title/tt0207596/,Film,5.5,126,1962,"Avventura",65,1963-03-30,"Jean-Paul Le Chanois",,
217,tt0055756,2023-04-07,2023-04-07,,"L'implacabile cordobes","Aprendiendo a morir",https://www.imdb.com/title/tt0055756/,Film,6.1,96,1962,"Drammatico",36,1965,"Pedro Lazaga",,
218,tt0058229,2023-04-07,2023-04-07,,"In ginocchio da te","In ginocchio da te",https://www.imdb.com/title/tt0058229/,Film,6.6,110,1964,"Commedia, Musical, Sentimentale",227,1964-12-21,"Ettore Maria Fizzarotti",,
219,tt0058368,2023-04-07,2023-04-07,,"L'ispettore spara a vista","Le monocle rit jaune",https://www.imdb.com/title/tt0058368/,Film,6.2,100,1964,"Commedia, Thriller",291,1965-04-24,"Georges Lautner",,
220,tt0059323,2023-04-07,2023-04-07,,"Italiani brava gente","Italiani brava gente",https://www.imdb.com/title/tt0059323/,Film,7.1,137,1964,"Drammatico, Storico, Guerra",431,1964-09-16,"Giuseppe De Santis",,
221,tt0179881,2023-04-07,2023-04-07,,"Intrigo a Los Angeles","Intrigo a Los Angeles",https://www.imdb.com/title/tt0179881/,Film,4.4,85,1964,"Drammatico",17,1964-09-22,"Romano Ferrara",,
222,tt0056871,2023-04-07,2023-04-07,,"L'impero dell'odio","Black Gold",https://www.imdb.com/title/tt0056871/,Film,5.4,98,1962,"Azione, Avventura, Sentimentale",91,1962-07-21,"Leslie H. Martinson",,
223,tt0057179,2023-04-07,2023-04-07,,"L'incendio di Roma","L'incendio di Roma",https://www.imdb.com/title/tt0057179/,Film,4.6,80,1965,"Drammatico",73,1965-03-20,"Guido Malatesta",,
224,tt0056107,2023-04-07,2023-04-07,,"L'isola di Arturo","L'isola di Arturo",https://www.imdb.com/title/tt0056107/,Film,6.4,93,1962,"Drammatico, Sentimentale",287,1962-12-21,"Damiano Damiani",,
225,tt0059317,2023-04-07,2023-04-07,,"Io uccido, tu uccidi","Io uccido, tu uccidi",https://www.imdb.com/title/tt0059317/,Film,5.8,110,1965,"Commedia, Thriller",91,1965-03-25,"Gianni Puccini",,
226,tt0047163,2023-04-07,2023-04-07,,"La legge contro Billy Kid","The Law vs. Billy the Kid",https://www.imdb.com/title/tt0047163/,Film,5.2,72,1954,"Western",216,1954-08-01,"William Castle",,
227,tt0059384,2023-04-07,2023-04-07,,"Letti sbagliati","Letti sbagliati",https://www.imdb.com/title/tt0059384/,Film,5.2,98,1965,"Commedia",75,1965-04-08,"Steno",,
228,tt0053365,2023-04-07,2023-04-07,,"Londra a mezzanotte","Too Hot to Handle",https://www.imdb.com/title/tt0053365/,Film,5.9,90,1960,"Poliziesco, Drammatico, Sentimentale, Thriller",447,1960-04-16,"Terence Young",,
229,tt0058282,2023-04-07,2023-04-07,,"Una lacrima sul viso","Una lacrima sul viso",https://www.imdb.com/title/tt0058282/,Film,6.5,90,1964,"Commedia, Musical",51,1964-05-21,"Ettore Maria Fizzarotti",,
230,tt0057667,2023-04-07,2023-04-07,,"Il muro dei dollari","Wall of Noise",https://www.imdb.com/title/tt0057667/,Film,6.0,112,1963,"Drammatico, Sentimentale",294,1963-11-29,"Richard Wilson",,
231,tt0239594,2023-04-07,2023-04-07,,"Marines Battleground","Toraoji annun haebyong",https://www.imdb.com/title/tt0239594/,Film,6.4,90,1963,"Drammatico, Guerra",153,1967-04-19,"Lee Man-hee",,
232,tt0058202,2023-04-07,2023-04-07,,"Minnesota Clay","Minnesota Clay",https://www.imdb.com/title/tt0058202/,Film,6.0,90,1964,"Azione, Drammatico, Guerra, Western",965,1964-11-12,"Sergio Corbucci",,
233,tt0056632,2023-04-07,2023-04-07,,"Missione in oriente - Il brutto americano","The Ugly American",https://www.imdb.com/title/tt0056632/,Film,6.6,120,1963,"Avventura, Drammatico, Thriller",2571,1963-08-01,"George Englund",,
234,tt0057278,2023-04-07,2023-04-07,,"Maigret e i gangsters","Maigret voit rouge",https://www.imdb.com/title/tt0057278/,Film,6.2,87,1963,"Poliziesco, Drammatico, Giallo, Thriller",728,1963-09-18,"Gilles Grangier",,
235,tt0057890,2023-04-07,2023-04-07,,"La morte nera","The Black Torment",https://www.imdb.com/title/tt0057890/,Film,5.9,90,1964,"Horror, Giallo",853,1965-03-01,"Robert Hartford-Davis",,
236,tt0414992,2023-04-07,2023-04-07,,"Mafiosi a Marsiglia","Les fortiches",https://www.imdb.com/title/tt0414992/,Film,4.4,85,1961,"Commedia",12,1961-01-04,"Georges Combret",,
